code,name,origin,packing,unit,category,subcategory,brand,tags
01,Panko Bread Crumbs 10kg,Malaysia,10 BAG,BAG,Sugar & Essentials,Baking & Coating,ARCO Food Service,horeca
02,Tempura Flour 1kg,Malaysia,1 KG,PKT,Sugar & Essentials,Baking & Coating,ARCO Food Service,horeca
03,Panko Bread Crumbs 1kg,Malaysia,1 KG,PKT,Sugar & Essentials,Baking & Coating,ARCO Food Service,
04,White Sugar Stick 5g,UAE,1000 PCS,BOX,Sugar & Essentials,Sugar & Sweeteners,ARCO Food Service,horeca
05,Brown Sugar Stick 5g,UAE,1000 PCS,BOX,Sugar & Essentials,Sugar & Sweeteners,ARCO Food Service,horeca
06,White Sugar Sachet 5g,UAE,1000 PCS,BTL,Sugar & Essentials,Sugar & Sweeteners,ARCO Food Service,horeca
07,Brown Sugar Sachet 5g,UAE,1000 PCS,BTL,Sugar & Essentials,Sugar & Sweeteners,ARCO Food Service,horeca
08,Sweet'N Low 100pcs,USA,12x100PCS,BOX,Sugar & Essentials,Sugar & Sweeteners,Sweet'N Low,
09,Sugar 2kg,India,1KGx10PCS,BOX,Sugar & Essentials,Sugar & Sweeteners,Al Hayat,
10,Sugar 50kg,India,50KG,BOX,Sugar & Essentials,Sugar & Sweeteners,Renuka,bulk
11,SIS Sugar White 1kg,Australia,1KG,PKT,Sugar & Essentials,Sugar & Sweeteners,SIS,retail
12,SIS Sugar Brown 1kg,Australia,1KG,PKT,Sugar & Essentials,Sugar & Sweeteners,SIS,retail
13,Shortening Clear Oil,Qatar,18LTR,CTN,Oils & Ghee,Cooking Oils,ARCO Food Service,horeca
14,Sunflower Oil,Qatar,5LTR*4,CTN,Oils & Ghee,Cooking Oils,ARCO Food Service,local
15,Corn Oil,Qatar,5LTR*4,CTN,Oils & Ghee,Cooking Oils,ARCO Food Service,local
16,Vegetable Oil,Malaysia,18LTR,TIN,Oils & Ghee,Cooking Oils,Sabrina Gold,bulk
17,Canada Maple Syrup,Canada,6 x 1 LITTER,BTL,Breakfast & Biscuits,Syrups & Honey,Maple Joe,
18,Canada Organic Maple Syrup,Canada,6 x 1 LITTER,BTL,Breakfast & Biscuits,Syrups & Honey,Maple Joe,
19,Organic Green Matcha Tea 100g,LiveSmart,100GM,PKT,Tea & Coffee,Tea,LiveSmart,
20,Organic Blue Matcha Tea 100g,LiveSmart,100GM,PKT,Tea & Coffee,Tea,LiveSmart,
21,Organic Mango Matcha Tea 100g,LiveSmart,100GM,PKT,Tea & Coffee,Tea,LiveSmart,
22,Udon Wheat Noodles 300g,Japan,300GM,PKT,Sugar & Essentials,Grains & Noodles,Kekeshi,
23,Esoro Red Quinoa 1kg,Peru,1000GM,PKT,Sugar & Essentials,Grains & Noodles,Esoro,
24,Esoro White Quinoa 1kg,Peru,1000GM,PKT,Sugar & Essentials,Grains & Noodles,Esoro,
25,Nutella Hazelnut Spread 750g,Germany,750GM*12,PCS,Spreads & Condiments,Sweet Spreads,Nutella,bestseller
26,Nutella Hazelnut Spread 3kg,Germany,3000GM*2,PCS,Spreads & Condiments,Sweet Spreads,Nutella,horeca
27,Lotus Spread 400g,Belgium,400GM*12,PCS,Spreads & Condiments,Sweet Spreads,Lotus Biscoff,
28,Philadelphia Cream Cheese Spread 500g,Switzerland,500GM*04,PCS,Dairy & Chilled,Cheese,Philadelphia,chilled
